"","Gene","larva","pupa","head","thorax","abdomen","DEcat","FDR","conn"
"1","5-HT2alpha",-0.219478350732911,-0.523313375370936,-0.677934794725879,-0.640107148912269,-0.916006963335403,"queen",0.090364276878064,46.1498549313767
"2","Adar",0.233858774634738,-0.440637373274327,-1.89890709101237,-0.0520299571856622,-3.13897635979012,"queen",2.33174455786486e-14,111.747646242325
"3","aub",-0.0786319096074288,0.516365767922883,-0.350354940677734,-0.142398441738221,-3.49173442111422,"queen",2.2224637295012e-29,104.446065554169
"4","Brd7",0.330267551271154,-0.220276105897729,-0.937835324253205,-1.47819093539994,-1.64384729298792,"queen",5.55187197538188e-06,185.681402102791
"5","c-mos",-0.461897687730646,0.831965764723253,1.31833117822516,1.25958303620661,-2.20161672252669,"queen",0.000748701202909338,34.1930196966842
"6","cad",0.602139146692311,-2.90895168165396,-1.51828886756946,-3.28333498108476,-4.43467162764093,"queen",1.94127076422089e-36,180.605392504056
"7","Cdk5",-0.240948321474664,0.610202303810083,-1.25351469344435,-0.26651473182815,-1.23792340787721,"queen",0.0141328632682361,30.9042009306019
"8","CPR1",1.06680649054996,-5.43311836637858,0,0.906098801730678,-1.59984272667194,"non-DE",0.390182335291958,2.74084585144159
"9","CPR12",-0.168243907826657,0.180130908319985,-2.4245828570699,0.352931087157856,0.181932478862063,"non-DE",0.891798259782054,5.80588217038257
"10","CPR17",1.05165601523762,-2.07986888313146,1.57667287797723,1.5136563802401,6.22040454769478,"worker",0.00957802718208553,5.58017821720326
"11","CPR21",0.654105464161339,-1.47157512220172,-1.11186118704201,-0.245593333623905,1.2067984595946,"non-DE",0.506618192433941,4.68095302574419
"12","CTL5",0.161051885198198,0.0381016455131252,0.0524728710300764,-0.888574327331019,-0.391149651045745,"non-DE",0.447598291577661,10.678797821688
"13","Cyp314a1",0.342886650475321,0.0982798854331575,-0.820475785628301,1.53323539925804,-3.43543534148024,"queen",3.31472175539777e-08,176.319858063912
"14","DHRS4",0.0402823061044336,-0.612065582262316,-0.467931514429959,-1.04976141220577,1.94120246160709,"worker",2.43292746437004e-06,8.26192651577353
"15","Dnmt1a",-0.0537824755126123,0.993769304414198,-0.165517613066827,-1.63740625177185,-3.62334133572368,"queen",2.61021441081895e-12,73.1768090702275
"16","E74",0.706907732534502,0.441300874672922,0.446758803282567,2.09616551429106,-0.93403691198816,"queen",0.0636194254291136,7.37051988765517
"17","Ecr",0.120352576643178,-0.0878029598779404,-0.080267632314851,-0.0242469049745798,-0.997029164772283,"non-DE",0.150540643231418,15.4238058612681
"18","Err",0.0236954485148281,0.225113450700114,-0.773887318233471,-0.387654545385955,-3.17400588422927,"queen",5.66147063807611e-22,90.6660115101121
"19","Eth",0.245588823074941,-0.643225968982355,2.72919166328919,3.21881888906133,3.76059244830753,"worker",0.0644345587434776,2.83803277302996
"20","Ets97D-like",-0.177049340464859,0.215949988477357,0.816525043874812,-0.138501671102813,-1.32032571105331,"queen",0.000163644042774894,66.992104957146
"21","eve",1.55300267213113,0,2.29418917789481,0.346576968040672,-6.83659804397769,"queen",5.9711699735799e-08,143.314642384722
"22","FAR1",0.18785999378735,0.619789287074124,-1.28145124606974,0.200799377352714,-1.33434749981774,"queen",0.000992579479689567,2.57344010033663
"23","Fstl5",-0.384627987810114,-0.140333315440797,0.912340431292889,-0.136677563293247,-1.43073677237714,"queen",0.00807123138750792,97.6463306181531
"24","Hex110",1.66556081104054,-1.84163540018892,-0.995908957221851,1.58532189978683,6.46313545717478,"worker",0.00175041628705609,5.68556585554121
"25","HEX70b",1.48715505699483,-3.82555211932611,-4.65780616389312,-1.17369797532118,-0.568499643471994,"non-DE",0.630925337583569,2.76398545801157
"26","Hsc70-5",-0.342165157866576,-0.32931773255918,-1.01218966435435,-0.280087665060941,-0.240517522355214,"non-DE",0.601354166924889,6.161069093528
"27","Ing3",-0.00588404948001094,-0.478441958567377,0.309214443516627,0.384628174973367,-1.91073452031338,"queen",1.9075090314057e-05,102.606446970499
"28","Ip3k",0.602304648492103,-0.434572979819004,-1.24714448898513,0.293801602513882,-1.01446495324014,"queen",0.0552387780330812,100.478792634213
"29","LOC100188904",4.57817906050477,-1.07408504209441,-1.56126230978982,-0.0172393974988328,-4.46608871200582,"queen",1.70519716795383e-05,27.1560180289859
